date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:32:24	4776/4776	---M--	200	added ('OK')	application/javascript	date:Mon,%2030%20Sep%202024%2008:11:32%20GMT	https://appminhacoroa.site/wp-includes/js/dist/hooks.min.js	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-includes/js/dist/hooks.min.js	(from https://appminhacoroa.site/)
23:32:25	9141/9141	---M--	200	added ('OK')	application/javascript	date:Thu,%2015%20Feb%202024%2019:53:16%20GMT	https://appminhacoroa.site/wp-includes/js/dist/i18n.min.js	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-includes/js/dist/i18n.min.js	(from https://appminhacoroa.site/)
23:32:26	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:29%20GMT	https://appminhacoroa.site/wp-content/plugins/elementor-pro/assets/js/frontend.min.js	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/plugins/elementor-pro/assets/js/frontend.min.16.delayed	(from https://appminhacoroa.site/)
23:32:27	21464/21464	---M--	200	added ('OK')	application/javascript	date:Wed,%2016%20Apr%202025%2015:54:21%20GMT	https://appminhacoroa.site/wp-includes/js/jquery/ui/core.min.js	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-includes/js/jquery/ui/core.min.js	(from https://appminhacoroa.site/)
23:32:27	44243/44243	---M--	200	added ('OK')	application/javascript	date:Fri,%2002%20May%202025%2023:14:19%20GMT	https://appminhacoroa.site/wp-content/plugins/elementor/assets/js/frontend.min.js	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/plugins/elementor/assets/js/frontend.min.js	(from https://appminhacoroa.site/)
23:32:28	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:32%20GMT	https://appminhacoroa.site/wp-content/plugins/elementor-pro/assets/js/preloaded-elements-handlers.min.js	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/plugins/elementor-pro/assets/js/preloaded-elements-handlers.min.19.delayed	(from https://appminhacoroa.site/)
23:32:29	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:33%20GMT	https://appminhacoroa.site/wp-content/uploads/elementor/css/post-489.css<link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/elementor/css/post-489.1b.delayed	(from https://appminhacoroa.site/bem-vindo.html)
23:32:30	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:33%20GMT	https://appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.csslink%20rel=%22https:/api.w.org/%22%20href=%22https:/minhacoroaplus.site/wp-json/%22%20/link%20rel=%22alternate%22%20title=%22JSON%22%20type=%22application/json%22%20href=%22https:/minhacoroaplus.site/wp-json/wp/v2/pages/1076%22%20/link%20rel=%22EditURI%22%20type=%22application/rsd+xml%22%20title=%22RSD%22%20href=%22https:/minhacoroaplus.site/xmlrpc.php?rsd%22%20/meta%20name=%22generator%22%20content=%22WordPress%206.8.1%22%20/link%20rel=%22canonical%22%20href=%22index.html%22%20/link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.csslink%20rel=_https_/api.w.org/_%20href=_https_/minhacoroaplus.site/wp-json/_/link%20rel=_alternate_%20title=_JSON_/xmlrpc.1a51fd.delaye	(from https://appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.css<link%20rel=%22https://api.w.org/%22%20href=%22https://minhacoroaplus.site/wp-json/%22%20/><link%20rel=%22alternate%22%20title=%22JSON%22%20type=%22application/json%22%20href=%22https://minhacoroaplus.site/wp-json/wp/v2/pages/1076%22%20/><link%20rel=%22EditURI%22%20type=%22application/rsd+xml%22%20title=%22RSD%22%20href=%22https://minhacoroaplus.site/xmlrpc.php?rsd%22%20/><meta%20name=%22generator%22%20content=%22WordPress%206.8.1%22%20/><link%20rel=%22canonical%22%20href=%22index.html%22%20/><link%20rel=)
23:32:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Jul%202025%2002:32:34%20GMT	https://appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.css<link%20rel=%22https://api.w.org/%22%20href=%22https://minhacoroaplus.site/wp-json/%22%20/><link%20rel=%22alternate%22%20title=%22JSON%22%20type=%22application/json%22%20href=%22https://minhacoroaplus.site/wp-json/wp/v2/pages/489%22%20/><link%20rel=%22EditURI%22%20type=%22application/rsd+xml%22%20title=%22RSD%22%20href=%22https://minhacoroaplus.site/xmlrpc.php?rsd%22%20/><meta%20name=%22generator%22%20content=%22WordPress%206.8.1%22%20/><link%20rel=%22canonical%22%20href=%22index.html%22%20/><link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.css_link%20rel=_https_/api.w.org/_%20href=_https_/minhacoroaplus.site/wp-json/_/__link%20rel=_alternate_%20title=_JS/xmlrpc.1c7ac1.delaye	(from https://appminhacoroa.site/bem-vindo.html)
23:32:31	327050/327050	---M--	200	added ('OK')	image/png	date:Mon,%2005%20May%202025%2021:37:00%20GMT	https://appminhacoroa.site/wp-content/uploads/2025/05/fundo-scaled-1.png	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/2025/05/fundo-scaled-1.png	(from https://appminhacoroa.site/bem-vindo.html)
23:32:31	125020/125020	---M--	200	added ('OK')	image/png	date:Mon,%2005%20May%202025%2021:36:59%20GMT	https://appminhacoroa.site/wp-content/uploads/2025/04/logoCoroa-4.png	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/2025/04/logoCoroa-4.png	(from https://appminhacoroa.site/bem-vindo.html)
23:32:32	34173/34173	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2021:31:22%20GMT	https://appminhacoroa.site/registro.html	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/registro.html	(from https://appminhacoroa.site/bem-vindo.html)
23:32:33	1220101/1220101	---M--	200	added ('OK')	image/png	date:Mon,%2005%20May%202025%2021:36:59%20GMT	https://appminhacoroa.site/wp-content/uploads/2025/04/pablo.png	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/2025/04/pablo.png	(from https://appminhacoroa.site/bem-vindo.html)
23:32:34	1211097/1211097	---M--	200	added ('OK')	image/png	date:Mon,%2005%20May%202025%2021:36:59%20GMT	https://appminhacoroa.site/wp-content/uploads/2025/04/jailson.png	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/2025/04/jailson.png	(from https://appminhacoroa.site/bem-vindo.html)
23:32:34	169178/169178	---M--	200	added ('OK')	image/png	date:Mon,%2005%20May%202025%2021:36:59%20GMT	https://appminhacoroa.site/wp-content/uploads/2025/04/luciano.png	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/2025/04/luciano.png	(from https://appminhacoroa.site/bem-vindo.html)
23:32:35	1413664/1413664	---M--	200	added ('OK')	image/png	date:Mon,%2005%20May%202025%2021:36:59%20GMT	https://appminhacoroa.site/wp-content/uploads/2025/04/augusto.png	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/2025/04/augusto.png	(from https://appminhacoroa.site/bem-vindo.html)
23:32:36	627187/627187	---M--	200	added ('OK')	image/png	date:Mon,%2005%20May%202025%2021:36:59%20GMT	https://appminhacoroa.site/wp-content/uploads/2025/04/heleno.png	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/2025/04/heleno.png	(from https://appminhacoroa.site/bem-vindo.html)
23:32:37	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:40%20GMT	https://appminhacoroa.site/wp-content/uploads/elementor/css/post-553.css<link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/elementor/css/post-553.26.delayed	(from https://appminhacoroa.site/registro.html)
23:32:37	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:40%20GMT	https://appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.csslink%20rel=%22https:/api.w.org/%22%20href=%22https:/minhacoroaplus.site/wp-json/%22%20/link%20rel=%22alternate%22%20title=%22JSON%22%20type=%22application/json%22%20href=%22https:/minhacoroaplus.site/wp-json/wp/v2/pages/489%22%20/link%20rel=%22EditURI%22%20type=%22application/rsd+xml%22%20title=%22RSD%22%20href=%22https:/minhacoroaplus.site/xmlrpc.php?rsd%22%20/meta%20name=%22generator%22%20content=%22WordPress%206.8.1%22%20/link%20rel=%22canonical%22%20href=%22index.html%22%20/link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.csslink%20rel=_https_/api.w.org/_%20href=_https_/minhacoroaplus.site/wp-json/_/link%20rel=_alternate_%20title=_JSON_/xmlrpc.2551fd.delaye	(from https://appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.css<link%20rel=%22https://api.w.org/%22%20href=%22https://minhacoroaplus.site/wp-json/%22%20/><link%20rel=%22alternate%22%20title=%22JSON%22%20type=%22application/json%22%20href=%22https://minhacoroaplus.site/wp-json/wp/v2/pages/489%22%20/><link%20rel=%22EditURI%22%20type=%22application/rsd+xml%22%20title=%22RSD%22%20href=%22https://minhacoroaplus.site/xmlrpc.php?rsd%22%20/><meta%20name=%22generator%22%20content=%22WordPress%206.8.1%22%20/><link%20rel=%22canonical%22%20href=%22index.html%22%20/><link%20rel=)
23:32:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Jul%202025%2002:32:42%20GMT	https://appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.css<link%20rel=%22https://api.w.org/%22%20href=%22https://minhacoroaplus.site/wp-json/%22%20/><link%20rel=%22alternate%22%20title=%22JSON%22%20type=%22application/json%22%20href=%22https://minhacoroaplus.site/wp-json/wp/v2/pages/553%22%20/><link%20rel=%22EditURI%22%20type=%22application/rsd+xml%22%20title=%22RSD%22%20href=%22https://minhacoroaplus.site/xmlrpc.php?rsd%22%20/><meta%20name=%22generator%22%20content=%22WordPress%206.8.1%22%20/><link%20rel=%22canonical%22%20href=%22index.html%22%20/><link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.css_link%20rel=_https_/api.w.org/_%20href=_https_/minhacoroaplus.site/wp-json/_/__link%20rel=_alternate_%20title=_JS/xmlrpc.277ac1.delaye	(from https://appminhacoroa.site/registro.html)
23:32:38	125020/125020	---M--	200	added ('OK')	image/png	date:Mon,%2005%20May%202025%2021:36:59%20GMT	https://appminhacoroa.site/wp-content/uploads/2025/04/logoregistro.png	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/2025/04/logoregistro.png	(from https://appminhacoroa.site/registro.html)
23:32:38	34820/34820	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2021:31:22%20GMT	https://appminhacoroa.site/editar-perfil.html	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/editar-perfil.html	(from https://appminhacoroa.site/registro.html)
23:32:39	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:43%20GMT	https://appminhacoroa.site/wp-content/uploads/elementor/css/post-8.css<link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/elementor/css/post-8.2b.delayed	(from https://appminhacoroa.site/editar-perfil.html)
23:32:40	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:43%20GMT	https://appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.csslink%20rel=%22https:/api.w.org/%22%20href=%22https:/minhacoroaplus.site/wp-json/%22%20/link%20rel=%22alternate%22%20title=%22JSON%22%20type=%22application/json%22%20href=%22https:/minhacoroaplus.site/wp-json/wp/v2/pages/553%22%20/link%20rel=%22EditURI%22%20type=%22application/rsd+xml%22%20title=%22RSD%22%20href=%22https:/minhacoroaplus.site/xmlrpc.php?rsd%22%20/meta%20name=%22generator%22%20content=%22WordPress%206.8.1%22%20/link%20rel=%22canonical%22%20href=%22index.html%22%20/link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.csslink%20rel=_https_/api.w.org/_%20href=_https_/minhacoroaplus.site/wp-json/_/link%20rel=_alternate_%20title=_JSON_/xmlrpc.2a51fd.delaye	(from https://appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.css<link%20rel=%22https://api.w.org/%22%20href=%22https://minhacoroaplus.site/wp-json/%22%20/><link%20rel=%22alternate%22%20title=%22JSON%22%20type=%22application/json%22%20href=%22https://minhacoroaplus.site/wp-json/wp/v2/pages/553%22%20/><link%20rel=%22EditURI%22%20type=%22application/rsd+xml%22%20title=%22RSD%22%20href=%22https://minhacoroaplus.site/xmlrpc.php?rsd%22%20/><meta%20name=%22generator%22%20content=%22WordPress%206.8.1%22%20/><link%20rel=%22canonical%22%20href=%22index.html%22%20/><link%20rel=)
23:32:40	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Jul%202025%2002:32:44%20GMT	https://appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.css<link%20rel=%22https://api.w.org/%22%20href=%22https://minhacoroaplus.site/wp-json/%22%20/><link%20rel=%22alternate%22%20title=%22JSON%22%20type=%22application/json%22%20href=%22https://minhacoroaplus.site/wp-json/wp/v2/pages/8%22%20/><link%20rel=%22EditURI%22%20type=%22application/rsd+xml%22%20title=%22RSD%22%20href=%22https://minhacoroaplus.site/xmlrpc.php?rsd%22%20/><meta%20name=%22generator%22%20content=%22WordPress%206.8.1%22%20/><link%20rel=%22canonical%22%20href=%22index.html%22%20/><link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.css_link%20rel=_https_/api.w.org/_%20href=_https_/minhacoroaplus.site/wp-json/_/__link%20rel=_alternate_%20title=_JS/xmlrpc.2c7ac1.delaye	(from https://appminhacoroa.site/editar-perfil.html)
23:32:41	173795/173795	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2021:31:22%20GMT	https://appminhacoroa.site/inicial.html	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/inicial.html	(from https://appminhacoroa.site/editar-perfil.html)
23:32:42	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:45%20GMT	https://appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.csslink%20rel=%22https:/api.w.org/%22%20href=%22https:/minhacoroaplus.site/wp-json/%22%20/link%20rel=%22alternate%22%20title=%22JSON%22%20type=%22application/json%22%20href=%22https:/minhacoroaplus.site/wp-json/wp/v2/pages/8%22%20/link%20rel=%22EditURI%22%20type=%22application/rsd+xml%22%20title=%22RSD%22%20href=%22https:/minhacoroaplus.site/xmlrpc.php?rsd%22%20/meta%20name=%22generator%22%20content=%22WordPress%206.8.1%22%20/link%20rel=%22canonical%22%20href=%22index.html%22%20/link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.csslink%20rel=_https_/api.w.org/_%20href=_https_/minhacoroaplus.site/wp-json/_/link%20rel=_alternate_%20title=_JSON_/xmlrpc.2e51fd.delaye	(from https://appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.css<link%20rel=%22https://api.w.org/%22%20href=%22https://minhacoroaplus.site/wp-json/%22%20/><link%20rel=%22alternate%22%20title=%22JSON%22%20type=%22application/json%22%20href=%22https://minhacoroaplus.site/wp-json/wp/v2/pages/8%22%20/><link%20rel=%22EditURI%22%20type=%22application/rsd+xml%22%20title=%22RSD%22%20href=%22https://minhacoroaplus.site/xmlrpc.php?rsd%22%20/><meta%20name=%22generator%22%20content=%22WordPress%206.8.1%22%20/><link%20rel=%22canonical%22%20href=%22index.html%22%20/><link%20rel=)
23:32:42	59452/59452	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2002:32:46%20GMT	https://appminhacoroa.site/wp-content/uploads/elementor/css/post-110.css<link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/elementor/css/post-110.2f.delayed	(from https://appminhacoroa.site/inicial.html)
23:32:42	9075/9075	---M--	200	added ('OK')	image/png	date:Mon,%2005%20May%202025%2021:36:59%20GMT	https://appminhacoroa.site/wp-content/uploads/2025/04/coracao.png	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/2025/04/coracao.png	(from https://appminhacoroa.site/inicial.html)
23:32:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Jul%202025%2002:32:47%20GMT	https://appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.css<link%20rel=%22https://api.w.org/%22%20href=%22https://minhacoroaplus.site/wp-json/%22%20/><link%20rel=%22alternate%22%20title=%22JSON%22%20type=%22application/json%22%20href=%22https://minhacoroaplus.site/wp-json/wp/v2/pages/110%22%20/><link%20rel=%22EditURI%22%20type=%22application/rsd+xml%22%20title=%22RSD%22%20href=%22https://minhacoroaplus.site/xmlrpc.php?rsd%22%20/><meta%20name=%22generator%22%20content=%22WordPress%206.8.1%22%20/><link%20rel=%22canonical%22%20href=%22index.html%22%20/><link%20rel=	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/elementor/google-fonts/css/robotoslab.css_link%20rel=_https_/api.w.org/_%20href=_https_/minhacoroaplus.site/wp-json/_/__link%20rel=_alternate_%20title=_JS/xmlrpc.307ac1.delaye	(from https://appminhacoroa.site/inicial.html)
23:32:44	228414/228414	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20May%202025%2021:37:00%20GMT	https://appminhacoroa.site/wp-content/uploads/2025/05/1.jpeg	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/2025/05/1.jpg	(from https://appminhacoroa.site/inicial.html)
23:32:44	161038/161038	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20May%202025%2021:37:00%20GMT	https://appminhacoroa.site/wp-content/uploads/2025/05/11.jpeg	C:/My%20Web%20Sites/Segredinho%20vip/appminhacoroa.site/wp-content/uploads/2025/05/11.jpg	(from https://appminhacoroa.site/inicial.html)
